DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2024-03-17 03:50:11,800,218,0,2303.156,1402.959,109,9501,1035609,0,0,401.977,1875.642
2024-03-17 03:50:13,1000,120,0,4353.792,2571.01,60,9501,570060,0,0,1744.383,3893.417
2024-03-17 03:50:15,1000,181,0,4587.392,1901.726,90.5,9501,859840.5,0,0,1485.066,4351.144
2024-03-17 03:50:17,1000,251,0,5263.669,1569.926,125.5,9501,1192375.5,0,0,1771.94,5042.398
2024-03-17 03:50:20,1000,253,0,6830.747,1268.76,126.5,9501,1201876.5,0,0,2178.526,6568.628
2024-03-17 03:50:22,1000,96,0,8491.896,1507.843,48,9501,456048,0,0,2093.271,8185.333
2024-03-17 03:50:24,1000,191,0,10754.864,1306.554,95.5,9501,907345.5,0,0,1930.487,10432.419
2024-03-17 03:50:26,1000,205,0,10544.102,999.317,102.5,9501,973852.5,0,0,598.712,10435.263
2024-03-17 03:50:28,1000,249,0,10653.522,1039.362,124.5,9501,1182874.5,0,0,74.614,10633.831
2024-03-17 03:50:30,1000,235,0,10719.813,859.349,117.5,9501,1116367.5,0,0,16.174,10712.221
2024-03-17 03:50:32,1000,282,0,9407.344,1521.904,141,9501,1339641,0,0,14.39,9400.039
2024-03-17 03:50:34,1000,266,0,8363.045,1024.255,133,9501,1263633,0,0,9.594,8387.65
2024-03-17 03:50:36,1000,265,0,7745.487,703.606,132.5,9501,1258882.5,0,0,7.872,7710.374
2024-03-17 03:50:38,1000,293,0,7632.768,718.861,146.5,9501,1391896.5,0,0,7.84,7652.867
2024-03-17 03:50:40,1000,281,0,7300.032,589.729,140.5,9501,1334890.5,0,0,7.591,7268.737
2024-03-17 03:50:42,1000,248,0,7309.407,608.47,124,9501,1178124,0,0,7.714,7304.468
